Time	f(number(86400)/count()) – Bitcoin
15.06.2014	454.7368421052632
16.06.2014	459.5744680851064
17.06.2014	469.5652173913044
18.06.2014	546.8354430379746
19.06.2014	517.3652694610779
20.06.2014	464.51612903225805
21.06.2014	464.51612903225805
22.06.2014	480
23.06.2014	490.90909090909093
24.06.2014	459.5744680851064
25.06.2014	462.03208556149735
26.06.2014	505.2631578947368
27.06.2014	438.5786802030457
28.06.2014	474.72527472527474
29.06.2014	550.3184713375796
30.06.2014	654.5454545454545
01.07.2014	649.624060150376
02.07.2014	630.6569343065694
03.07.2014	621.5827338129496
04.07.2014	520.4819277108434
05.07.2014	568.421052631579
06.07.2014	608.4507042253521
07.07.2014	576
08.07.2014	576
09.07.2014	520.4819277108434
10.07.2014	579.8657718120805
11.07.2014	553.8461538461538
12.07.2014	550.3184713375796
13.07.2014	540
14.07.2014	640
15.07.2014	543.3962264150944
16.07.2014	600
17.07.2014	502.3255813953488
18.07.2014	502.3255813953488
19.07.2014	488.135593220339
20.07.2014	557.4193548387096
21.07.2014	557.4193548387096
22.07.2014	608.4507042253521
23.07.2014	591.7808219178082
24.07.2014	604.1958041958042
25.07.2014	530.0613496932515
26.07.2014	644.776119402985
27.07.2014	564.7058823529412
28.07.2014	576
29.07.2014	579.8657718120805
30.07.2014	502.3255813953488
31.07.2014	561.038961038961
01.08.2014	550.3184713375796
02.08.2014	530.0613496932515
03.08.2014	561.038961038961
04.08.2014	675
05.08.2014	640
06.08.2014	526.829268292683
07.08.2014	540
08.08.2014	546.8354430379746
09.08.2014	474.72527472527474
10.08.2014	488.135593220339
11.08.2014	474.72527472527474
12.08.2014	496.55172413793105
13.08.2014	595.8620689655172
14.08.2014	480
15.08.2014	523.6363636363636
16.08.2014	546.8354430379746
17.08.2014	508.2352941176471
18.08.2014	436.3636363636364
19.08.2014	464.51612903225805
20.08.2014	511.2426035502959
21.08.2014	523.6363636363636
22.08.2014	550.3184713375796
23.08.2014	533.3333333333334
24.08.2014	591.7808219178082
25.08.2014	630.6569343065694
