Time_l,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin,t,v
14.08.2009,0.01,63,215.82539682539684,1371.428571428571,0.0,1249776000,0
15.08.2009,0.01,26,215.3846153846154,3323.076923076923,0.0,1249862400,0
16.08.2009,0.01,19,215.52631578947367,4547.368421052632,0.0,1249948800,0
17.08.2009,0.01,17,215.8235294117647,5082.35294117647,0.0,1250035200,0
18.08.2009,0.01,10,216.0,8640.0,0.0,1250121600,0
19.08.2009,0.01,18,215.38888888888889,4800.0,0.0,1250208000,0
20.08.2009,0.01,22,215.1818181818182,3927.272727272728,0.0,1250294400,0
21.08.2009,0.01,14,215.0,6171.428571428572,0.0,1250380800,0
22.08.2009,0.01,7,215.0,12342.857142857143,0.0,1250467200,0
23.08.2009,0.01,15,215.53333333333333,5760.0,0.0,1250553600,0
24.08.2009,0.01,15,215.0,5760.0,0.0,1250640000,0
25.08.2009,0.01,50,215.66,1728.0,0.0,1250726400,0
26.08.2009,0.01,51,335.8333333333333,1800.0,0.0,1250812800,0
27.08.2009,0.01,29,215.3448275862069,2979.310344827586,0.0,1250899200,0
28.08.2009,0.01,75,215.7333333333333,1152.0,0.0,1250985600,0
29.08.2009,0.01,78,215.80769230769232,1107.6923076923076,0.0,1251072000,0
30.08.2009,0.01,98,217.38144329896903,890.7216494845361,0.0,1251158400,0
31.08.2009,0.01,87,224.34883720930236,1004.6511627906976,0.0,1251244800,48
01.09.2009,0.01,78,215.7948717948718,1107.6923076923076,0.0,1251331200,0
02.09.2009,0.01,66,215.84848484848484,1309.090909090909,0.0,1251417600,0
03.09.2009,0.01,62,242.9016393442623,1416.3934426229507,0.0,1251504000,0
04.09.2009,0.01,64,215.671875,1350.0,0.0,1251590400,2
05.09.2009,0.01,76,215.8421052631579,1136.842105263158,0.0,1251676800,7
06.09.2009,0.01,68,215.85294117647055,1270.5882352941176,0.0,1251763200,0
07.09.2009,0.01,79,235.43589743589743,1107.6923076923076,0.0,1251849600,0
08.09.2009,0.01,69,215.768115942029,1252.1739130434785,0.0,1251936000,15
09.09.2009,0.01,54,215.7962962962963,1600.0,0.0,1252022400,0
10.09.2009,0.01,67,215.8059701492537,1289.55223880597,0.0,1252108800,0
11.09.2009,0.01,67,215.82089552238807,1289.55223880597,0.0,1252195200,0
12.09.2009,0.01,69,215.8840579710145,1252.1739130434785,0.0,1252281600,14
13.09.2009,0.01,75,215.84,1152.0,0.0,1252368000,0
14.09.2009,0.01,74,215.85135135135133,1167.5675675675675,0.0,1252454400,0
15.09.2009,0.01,44,215.8636363636364,1963.636363636364,0.0,1252540800,0
16.09.2009,0.01,73,218.875,1200.0,0.0,1252627200,0
17.09.2009,0.01,85,354.2261904761905,1028.571428571429,1.41176470588e-05,1252713600,0
18.09.2009,0.01,78,215.80769230769232,1107.6923076923076,0.0,1252800000,0
19.09.2009,0.01,74,215.95945945945945,1167.5675675675675,0.0,1252886400,0
20.09.2009,0.01,78,215.98717948717947,1107.6923076923076,0.0,1252972800,0
21.09.2009,0.01,70,229.7536231884058,1252.1739130434785,0.0,1253059200,2
22.09.2009,0.01,26,399.84,3456.0,0.0,1253145600,102
23.09.2009,0.01,36,215.72222222222223,2400.0,0.0,1253232000,0
24.09.2009,0.01,97,215.5051546391753,890.7216494845361,0.0,1253318400,0
25.09.2009,0.01,93,249.3186813186813,949.4505494505496,0.0,1253404800,0
26.09.2009,0.01,100,215.46,864.0,0.0,1253491200,9
27.09.2009,0.01,88,237.3793103448276,993.103448275862,0.0,1253577600,41
28.09.2009,0.01,85,215.9294117647059,1016.470588235294,0.0,1253664000,0
29.09.2009,0.01,90,272.6136363636364,981.818181818182,0.0,1253750400,0
30.09.2009,0.01,85,215.76470588235293,1016.470588235294,0.0,1253836800,28
01.10.2009,0.01,82,215.890243902439,1053.658536585366,0.0,1253923200,0
02.10.2009,0.01,73,232.22222222222223,1200.0,0.0,1254009600,17
03.10.2009,0.01,58,215.41379310344828,1489.655172413793,0.0,1254096000,0
04.10.2009,0.01,53,215.67924528301887,1630.188679245283,0.0,1254182400,45
05.10.2009,0.01,55,215.76363636363635,1570.909090909091,0.0,1254268800,0
06.10.2009,0.01,45,259.1162790697674,2009.3023255813955,0.0,1254355200,0
07.10.2009,0.01,60,215.71666666666667,1440.0,0.0,1254441600,11
08.10.2009,0.01,70,215.47142857142856,1234.2857142857142,0.0,1254528000,0
09.10.2009,0.01,79,215.6582278481013,1093.6708860759493,0.0,1254614400,0
10.10.2009,0.01,77,215.8181818181818,1122.077922077922,0.0,1254700800,0
11.10.2009,0.01,74,215.75675675675677,1167.5675675675675,0.0,1254787200,15
12.10.2009,0.01,59,364.3793103448276,1489.655172413793,0.0,1254873600,0
13.10.2009,0.01,57,215.80701754385964,1515.7894736842106,0.0,1254960000,0
14.10.2009,0.01,69,215.6231884057971,1252.1739130434785,0.0,1255046400,0
15.10.2009,0.01,71,215.3661971830986,1216.901408450704,0.0,1255132800,0
16.10.2009,0.01,61,372.51666666666665,1440.0,0.0,1255219200,0
17.10.2009,0.01,57,215.8421052631579,1515.7894736842106,0.0,1255305600,74
18.10.2009,0.01,75,227.0,1167.5675675675675,0.0,1255392000,0
19.10.2009,0.01,112,215.44642857142856,771.4285714285714,0.0,1255478400,0
20.10.2009,0.01,96,338.0,909.4736842105264,1.25e-05,1255564800,0
21.10.2009,0.01,81,241.6625,1080.0,0.0,1255651200,81
22.10.2009,0.01,91,268.1222222222222,960.0,0.0,1255737600,0
23.10.2009,0.01,89,215.42696629213484,970.7865168539324,0.0,1255824000,8
24.10.2009,0.01,63,230.1935483870968,1393.548387096774,0.0,1255910400,0
25.10.2009,0.01,76,215.57894736842104,1136.842105263158,0.0,1255996800,102
26.10.2009,0.01,71,215.80281690140845,1216.901408450704,0.0,1256083200,19
27.10.2009,0.01,65,245.78125,1350.0,0.0,1256169600,40
28.10.2009,0.01,66,215.6818181818182,1309.090909090909,0.0,1256256000,0
29.10.2009,0.01,48,319.39130434782606,1878.2608695652173,0.0,1256342400,8
30.10.2009,0.01,60,215.46666666666667,1440.0,0.0,1256428800,0
31.10.2009,0.01,46,215.30434782608697,1878.2608695652173,0.0,1256515200,0
01.11.2009,0.01,25,215.28,3456.0,0.0,1256601600,17
02.11.2009,0.01,33,215.3939393939394,2618.181818181818,0.0,1256688000,0
03.11.2009,0.01,62,215.53225806451613,1393.548387096774,0.0,1256774400,43
04.11.2009,0.01,64,294.1111111111111,1371.428571428571,0.0,1256860800,0
05.11.2009,0.01,57,215.47368421052636,1515.7894736842106,0.0,1256947200,0
06.11.2009,0.01,62,215.5483870967742,1393.548387096774,0.0,1257033600,0
