"Date","active_addr","avg.Block.size..kB.....Ethereum","Price..ETH.USD....Ethereum","f.number.86400..count......Ethereum","sum.Transaction.count...Blocks....Ethereum","avg.Fee...Transactions..USD.....Ethereum"
2016-03-13,10160,1392.09776320864,13.52899,16.6602391052835,28127,0.0103080323193916
2016-03-14,10419,1501.31401722788,14.13,16.9146436961629,28528,0.0115660126862369
2016-03-15,10362,1317.72202709483,12.43,14.4505770195685,29273,0.00836122941391016
2016-03-16,9643,1316.42572614108,12.777778,14.3402489626556,27596,0.00897544236082535
2016-03-17,10279,1421.2222952976,12.7,14.2058533377179,33531,0.0100139985033674
2016-03-18,10754,1403.06407245891,10.85713,14.4917812814492,31821,0.00780716173430672
2016-03-19,9578,1494.03962512331,10.497652,14.2058533377179,34779,0.0112345133599323
2016-03-20,10071,1445.83573917372,10.44,14.3354902936784,32447,0.00959928789943186
2016-03-21,10316,1497.77460794127,10.136951,14.4144144144144,32511,0.00847490751207481
2016-03-22,9765,1514.46170317905,11.705253,14.2315928183166,32890,0.00776944747872476
2016-03-23,10090,1529.49330431871,11.16,14.4626715768329,31786,0.00954523597506679
2016-03-24,10061,1861.73725618751,12.341706,14.1616128503524,36947,0.0117552476157647
2016-03-25,10022,1621.24810418727,11.197317,14.2433234421365,36762,0.0104448462302733
2016-03-26,9844,1537.77965545529,10.6047945,14.1755537325677,36646,0.00862672811059908
2016-03-27,10646,1260.76166060205,10.868478,14.2904399603043,29974,0.00574303165060803
2016-03-28,10791,1567.66011001834,10.332486,14.4024004000667,33613,0.00679208960448022
2016-03-29,12247,1389.47121464226,11.628749,14.3760399334443,33915,0.0068991916085997
2016-03-30,12342,1572.47147345791,11.715065,14.2880767322639,36767,0.0101177044555944
2016-03-31,11282,1405.38764324863,11.89812,14.3497757847534,32259,0.00770351812090954
2016-04-01,10943,1492.63591514554,11.38021,14.2081894425259,33320,0.00693969772287916
2016-04-02,10753,1234.98231132075,11.673825,14.55525606469,29358,0.00591230183183015
2016-04-03,10808,1244.71333885667,11.5991,14.3164871582436,29588,0.00578031928161636
2016-04-04,11653,1502.01560959579,11.642455,14.196516595465,34907,0.0069867956854323
2016-04-05,12088,1527.7717553456,11.176207,14.3212332173048,39173,0.00700202757502028
2016-04-06,11866,1336.77098600933,10.350475,14.3904063957362,32078,0.00580832401508256
2016-04-07,11746,1404.41172518058,10.685965,14.5136905761801,31893,0.00598442050772569
2016-04-08,11561,1540.88151425762,10.143272,14.1592920353982,34010,0.0063175885719925
2016-04-09,11973,1317.79049384797,9.73,14.5626158772965,31923,0.00509394208888075
2016-04-10,12823,1280.92135201979,9.129262,14.2456718878813,32237,0.00457311078408592
2016-04-11,12055,1261.85514569648,8.839477,14.5528044466902,30327,0.0045003685101272
2016-04-12,12593,1451.45868661679,8.710231,14.3640897755611,34673,0.00487881702625043
2016-04-13,12899,1477.32718204489,7.4655657,14.3640897755611,36051,0.00577595630987971
2016-04-14,12314,1405.60787244644,8.154303,14.3497757847534,34781,0.00626724217478934
2016-04-15,11835,1412.21917808219,8.55,14.259778841393,34959,0.0048330751037745
2016-04-16,11883,1215.2877554411,8.243733,14.3545439441768,30483,0.00386696191559673
2016-04-17,12504,1917.37639235245,8.7137575,14.3640897755611,40203,0.00566495603688612
2016-04-18,12483,1350.94830718415,9.3,14.2691990090834,33513,0.00467349406620862
2016-04-19,12426,1317.15630758921,9.074206,14.4747863963813,32622,0.00443457112836678
2016-04-20,12673,1359.21619834711,8.763303,14.2809917355372,32944,0.00530390397241869
2016-04-21,12669,1504.17512520868,8.500359,14.424040066778,37181,0.00594233504634303
2016-04-22,12799,1290.76968993533,8.263118,14.3259824241419,31678,0.00447427604658483
2016-04-23,12583,1270.27697901173,7.883762,14.2786316311353,31845,0.00401366020405501
2016-04-24,12690,1433.01788998495,8.357474,14.4457448587193,34046,0.00463948180897572
2016-04-25,13177,1398.70265399738,8.052316,14.1546526867628,35430,0.00458968883175011
2016-04-26,13364,1344.46572580645,7.6145124,14.5161290322581,32582,0.00423395863272429
2016-04-27,13224,1313.78571428571,7.4,14.252721873969,33847,0.00374954039790887
2016-04-28,12983,1407.93034825871,7.7191105,14.3283582089552,34343,0.00426334746281822
2016-04-29,14976,1423.20696517413,7.2,14.3283582089552,37332,0.00383666582954727
2016-04-30,19611,1588.10647078244,7.4402657,14.2621327170683,45769,0.00456547951493822
2016-05-01,14479,1680.53416358129,8.755,14.5405587344329,39578,0.00701116147308782
2016-05-02,17567,1480.21069078947,8.8,14.2105263157895,41748,0.00499640533709029
2016-05-03,14860,1446.31235546746,10.108277,14.2715559960357,37821,0.00610190645940031
2016-05-04,14505,1497.95719063545,9.33,14.4481605351171,37484,0.00579870183110139
2016-05-05,14744,1485.98326983601,9.362272,14.3117442438297,38707,0.00643152981773137
2016-05-06,14554,1625.26320159415,9.773396,14.3473928927267,41271,0.00720162067088236
2016-05-07,14178,1374.83266533066,9.36594,14.4288577154309,35864,0.00534181001890359
2016-05-08,14755,1530.22822673938,9.390163,14.2786316311353,40063,0.00580355356107616
2016-05-09,15260,1459.58173395103,9.549891,14.295168762409,38560,0.00557592621367844
2016-05-10,15268,1481.18063872255,9.296396,14.3712574850299,40684,0.00546336980027986
2016-05-11,16717,1558.5437943862,9.379072,14.6094014203585,40811,0.0062647761699964
2016-05-12,17089,1679.38481718314,9.871518,14.1662567634038,45002,0.00748912858084273
2016-05-13,18465,1674.22213060686,10,14.2480211081794,47739,0.00794800338596298
2016-05-14,16621,1682.89157435381,10.498201,14.5015105740181,45745,0.00711847732450179
2016-05-15,16064,1539.68844555278,10.19,14.3640897755611,43073,0.00644404898815649
2016-05-16,15238,1491.40882402281,9.950167,14.4942123804731,37424,0.00627410329494927
2016-05-17,16863,1515.02701367155,11.207816,14.2315928183166,40309,0.00680399658775858
2016-05-18,19489,1688.83968332509,12.189779,14.2503711034142,46033,0.00811409135821236
2016-05-19,18314,1576.22675095658,13.363662,14.373648311429,44523,0.00867508089345596
2016-05-20,17280,1677.15438131522,14.65,14.3117442438297,45177,0.0107995860094405
2016-05-21,16620,1672.66995485705,13.333254,14.4457448587193,43621,0.00953058278595244
2016-05-22,15530,1493.91995397765,13.76005,14.2011834319527,38895,0.00875741543607914
2016-05-23,18092,1568.38400133045,14.077772,14.36886745385,43806,0.00828264825668024
2016-05-24,17235,1528.31713810316,13.195791,14.3760399334443,42911,0.00760980737323459
2016-05-25,17693,1669.85204843258,12.688604,14.3307347818875,46443,0.00781748477248298
2016-05-26,24287,1733.24406047516,12.6,14.3545439441768,51147,0.00777199694751812
2016-05-27,19744,1726.58081058726,12.32,14.2928039702233,49006,0.00843703083954083
2016-05-28,25544,2435.93603588636,11.186739,14.3545439441768,70148,0.0118010530431383
2016-05-29,18706,1675.38143642726,11.103511,14.3976003999333,45890,0.00824170262323876
2016-05-30,17487,1543.33011486599,12.4,14.38321957716,42927,0.00798500768732805
2016-05-31,18200,1593.73349056604,12.784486,14.55525606469,44386,0.00786332880408027
2016-06-01,17471,1562.13644643153,13.940198,14.3070044709389,42221,0.00894832899082945
2016-06-02,17310,1453.2371541502,13.944049,14.2292490118577,39666,0.00782991210599238
2016-06-03,16840,1428.59927019406,13.71,14.3307347818875,39834,0.00747935501950894
2016-06-04,16484,1408.99185505319,13.816671,14.3617021276596,37875,0.00758527377975989
2016-06-05,16415,1396.07479456649,13.811536,14.4893509978199,37896,0.00743121289419626
2016-06-06,17397,1425.63408644401,14,14.1453831041257,38957,0.00796214168039539
2016-06-07,17181,1692.57679465776,13.938918,14.424040066778,46141,0.0178961004161837
2016-06-08,17766,1436.94697094073,14.49,14.1848629124938,40433,0.00877009385574734
2016-06-09,17185,1476.50525279055,14.41,14.182534471438,39854,0.00900447783718524
2016-06-10,17659,1437.32141646899,14.3810005,14.6391053880041,40145,0.00892834388049421
2016-06-11,14553,1381.52469741577,13.873205,14.1315014720314,36901,0.00867153605448438
2016-06-12,18465,1462.55795548228,14.041487,14.2456718878813,42581,0.00833166103351387
2016-06-13,21140,1599.27284681131,15.410826,14.2011834319527,46185,0.010802502086653
