Time,avg(Block size (kB)) – Ethereum,t,v,t_lambda,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
31.01.2016,1135.3866995073893,1454198400.0,4390.0,31.01.2016,0.0043780917998968,17.733990147783253,2.5097957,14166
01.02.2016,1080.6939182452645,1454284800.0,4194.0,01.02.2016,0.0038990599775212,17.228315054835495,2.3389654,14199
02.02.2016,1077.2785065590313,1454371200.0,4161.0,02.02.2016,0.0033944575230296,17.43693239152371,2.2404094,14291
03.02.2016,1059.580496249279,1454457600.0,4325.0,03.02.2016,0.0032368516649848,16.61858049624928,2.3327856,14274
04.02.2016,1086.6635717107863,1454544000.0,4077.0,04.02.2016,0.0040006879805746,17.068352429869616,2.423854,14371
05.02.2016,1116.8517637732857,1454630400.0,4697.0,05.02.2016,0.0048463631961259,17.122473246135552,2.57,15249
06.02.2016,1677.5446160016045,1454716800.0,3836.0,06.02.2016,0.017021733456582,17.32504511730499,2.5989997,31418
07.02.2016,1025.9807352073915,1454803200.0,4053.0,07.02.2016,0.0069672745745491,16.984470218203263,2.579995,14264
08.02.2016,1033.5673437191876,1454889600.0,4492.0,08.02.2016,0.0055960613886957,17.038059554328534,2.9832356,14719
09.02.2016,1032.3430267062315,1454976000.0,4755.0,09.02.2016,0.0074975443971088,17.0919881305638,3.12,15517
10.02.2016,1106.378552711147,1455062400.0,6029.0,10.02.2016,0.0107511263467189,17.415843579923404,4.1,17141
11.02.2016,1279.6393703925085,1455148800.0,7678.0,11.02.2016,0.0075478024231127,17.214584578601315,4.3350854,21440
12.02.2016,1170.5340751043116,1455235200.0,6480.0,12.02.2016,0.0084490871951997,17.166699781442478,6.0,18109
13.02.2016,1222.0914981346946,1455321600.0,6064.0,13.02.2016,0.0082120695217356,16.96446102493619,5.65,19327
14.02.2016,1139.9569138276554,1455408000.0,5542.0,14.02.2016,0.0069486308224163,17.314629258517034,5.4900064,16624
15.02.2016,1126.8170854271357,1455494400.0,5680.0,15.02.2016,0.0071695180508625,17.366834170854272,5.259,17159
16.02.2016,1127.9303482587063,1455580800.0,5680.0,16.02.2016,0.0074199275836496,17.19402985074627,5.095876,17549
17.02.2016,1265.1762404776612,1455667200.0,5726.0,17.02.2016,0.0071320459952418,17.78875849289685,4.39,19990
18.02.2016,1109.4748949789955,1455753600.0,5531.0,18.02.2016,0.0049940031397174,17.283456691338266,3.798,16969
19.02.2016,1156.661831909398,1455840000.0,5524.0,19.02.2016,0.0068523322147651,17.166699781442478,4.42,18412
20.02.2016,1046.282914274401,1455926400.0,5224.0,20.02.2016,0.0056696155585707,17.10552365868145,4.688,16714
