Time,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin
17.01.2010,0.01,131.0,215.5648854961832,659.5419847328244,0.0
18.01.2010,0.01,126.0,217.328,691.2,0.0
19.01.2010,0.01,124.0,215.38709677419357,696.7741935483871,0.0
20.01.2010,0.01,158.0,215.4493670886076,546.8354430379746,0.0
21.01.2010,0.01,184.0,235.2342857142857,493.7142857142857,0.0
22.01.2010,0.01,136.0,221.406015037594,649.624060150376,0.0
23.01.2010,0.01,162.0,218.4625,540.0,0.0
24.01.2010,0.01,155.0,216.7012987012987,561.038961038961,0.0
25.01.2010,0.01,215.0,251.2559241706161,409.478672985782,0.0
26.01.2010,0.01,201.0,230.12820512820517,443.0769230769231,0.0
27.01.2010,0.01,166.0,230.0548780487805,526.829268292683,0.0
28.01.2010,0.01,179.0,229.56497175141243,488.135593220339,0.0
29.01.2010,0.01,201.0,227.75634517766497,438.5786802030457,0.0
30.01.2010,0.01,214.0,235.40952380952385,411.4285714285714,0.0
31.01.2010,0.01,167.0,229.04242424242423,523.6363636363636,0.0
01.02.2010,0.01,193.0,233.9184782608696,469.5652173913044,0.0
02.02.2010,0.01,146.0,232.17241379310343,595.8620689655172,0.0
03.02.2010,0.01,272.0,218.43703703703704,320.0,0.0
04.02.2010,0.01,234.0,237.8995633187773,377.292576419214,0.0
05.02.2010,0.01,227.0,342.7309417040359,387.4439461883408,0.0
06.02.2010,0.01,206.0,237.18229166666663,450.0,0.0
07.02.2010,0.01,222.0,222.9078341013825,398.15668202764977,0.0
08.02.2010,0.01,208.0,290.79,432.0,0.0
