"Date","active_addr","avg.Block.size..kB.....Bitcoin","Price..BTC.USD....Bitcoin","f.number.86400..count......Bitcoin","sum.Transaction.count...Blocks....Bitcoin","avg.Fee...Transactions..USD.....Bitcoin"
2009-11-14,0,215.632911392405,0.01,1093.67088607595,79,0
2009-11-15,0,215.625,0.01,900,96,0
2009-11-16,0,215.680412371134,0.01,890.721649484536,97,0
2009-11-17,0,215.663043478261,0.01,939.130434782609,92,0
2009-11-18,0,215.430379746835,0.01,1093.67088607595,79,0
2009-11-19,83,375.2,0.01,1234.28571428571,72,0
2009-11-20,0,215.616279069767,0.01,1004.6511627907,86,0
2009-11-21,0,215.712328767123,0.01,1183.56164383562,73,0
2009-11-22,0,215.707547169811,0.01,815.094339622642,106,0
2009-11-23,0,215.854166666667,0.01,900,96,0
2009-11-24,0,215.569892473118,0.01,929.032258064516,93,0
2009-11-25,0,215.644444444444,0.01,960,90,0
2009-11-26,0,215.511904761905,0.01,1028.57142857143,84,0
2009-11-27,0,215.472972972973,0.01,1167.56756756757,74,0
2009-11-28,0,215.56338028169,0.01,1216.9014084507,71,0
2009-11-29,0,215.683333333333,0.01,1440,60,0
2009-11-30,0,215.76,0.01,1152,75,0
2009-12-01,167,483.780821917808,0.01,1183.56164383562,74,2.97297297297297e-05
2009-12-02,0,215.648936170213,0.01,919.148936170213,94,0
2009-12-03,0,215.784090909091,0.01,981.818181818182,88,0
2009-12-04,0,215.444444444444,0.01,2400,36,0
2009-12-05,20,249.015625,0.01,1350,65,0
2009-12-06,4,220.359223300971,0.01,838.834951456311,105,0
2009-12-07,0,215.642857142857,0.01,771.428571428571,112,0
2009-12-08,31,249.209523809524,0.01,822.857142857143,107,0
2009-12-09,23,263.208333333333,0.01,900,109,0
2009-12-10,0,215.644230769231,0.01,830.769230769231,104,0
2009-12-11,0,215.348214285714,0.01,771.428571428571,112,0
2009-12-12,68,286.445454545455,0.01,785.454545454545,112,0
2009-12-13,0,215.754385964912,0.01,757.894736842105,114,0
2009-12-14,335,591.470588235294,0.01,847.058823529412,107,0
2009-12-15,9,226.945454545455,0.01,785.454545454545,112,0
2009-12-16,18,230.213235294118,0.01,635.294117647059,137,0
2009-12-17,10,224.96449704142,0.01,511.242603550296,172,0
2009-12-18,0,215.542222222222,0.01,384,225,0
2009-12-19,2,216.717171717172,0.01,436.363636363636,199,0
2009-12-20,0,215.914285714286,0.01,493.714285714286,175,0
2009-12-21,2,216.577142857143,0.01,493.714285714286,176,0
2009-12-22,0,215.722222222222,0.01,533.333333333333,162,0
2009-12-23,0,215.675324675325,0.01,561.038961038961,154,0
2009-12-24,0,215.688311688312,0.01,561.038961038961,154,0
2009-12-25,2,217.302013422819,0.01,579.865771812081,150,0
2009-12-26,0,215.718390804598,0.01,496.551724137931,174,0
2009-12-27,6,219.796407185629,0.01,517.365269461078,168,0
2009-12-28,0,215.751824817518,0.01,630.656934306569,137,0
2009-12-29,0,215.649122807018,0.01,505.263157894737,171,0
2009-12-30,0,215.687943262411,0.01,612.765957446809,141,0
2009-12-31,0,215.695652173913,0.01,626.086956521739,138,0
2010-01-01,4,217.954545454545,0.01,654.545454545455,134,0
2010-01-02,0,215.626984126984,0.01,685.714285714286,126,0
2010-01-03,0,215.763440860215,0.01,464.516129032258,186,0
2010-01-04,85,269.044198895028,0.01,477.348066298343,183,0
2010-01-05,0,215.631313131313,0.01,436.363636363636,198,0
2010-01-06,0,215.742331288344,0.01,530.061349693251,163,0
2010-01-07,0,215.636363636364,0.01,561.038961038961,154,0
2010-01-08,0,215.758169934641,0.01,564.705882352941,153,0
2010-01-09,0,215.827814569536,0.01,572.185430463576,151,0
2010-01-10,0,215.8,0.01,454.736842105263,190,0
2010-01-11,0,215.698113207547,0.01,543.396226415094,159,0
2010-01-12,216,372.012578616352,0.01,543.396226415094,161,1.61490683229814e-05
2010-01-13,4,218.506097560976,0.01,526.829268292683,166,0
2010-01-14,12,224.573426573427,0.01,604.195804195804,145,0
2010-01-15,6,219.900709219858,0.01,612.765957446809,142,0
2010-01-16,7,222.28,0.01,691.2,126,0
2010-01-17,0,215.564885496183,0.01,659.541984732824,131,0
2010-01-18,3,217.328,0.01,691.2,126,0
2010-01-19,0,215.387096774194,0.01,696.774193548387,124,0
2010-01-20,0,215.449367088608,0.01,546.835443037975,158,0
2010-01-21,12,235.234285714286,0.01,493.714285714286,184,0
2010-01-22,8,221.406015037594,0.01,649.624060150376,136,0
2010-01-23,4,218.4625,0.01,540,162,0
2010-01-24,2,216.701298701299,0.01,561.038961038961,155,0
2010-01-25,61,251.255924170616,0.01,409.478672985782,215,0
2010-01-26,20,230.128205128205,0.01,443.076923076923,201,0
2010-01-27,21,230.05487804878,0.01,526.829268292683,166,0
2010-01-28,22,229.564971751412,0.01,488.135593220339,179,0
2010-01-29,21,227.756345177665,0.01,438.578680203046,201,0
2010-01-30,38,235.409523809524,0.01,411.428571428571,214,0
2010-01-31,20,229.042424242424,0.01,523.636363636364,167,0
2010-02-01,19,233.91847826087,0.01,469.565217391304,193,0
2010-02-02,22,232.172413793103,0.01,595.862068965517,146,0
2010-02-03,7,218.437037037037,0.01,320,272,0
2010-02-04,45,237.899563318777,0.01,377.292576419214,234,0
2010-02-05,249,342.730941704036,0.01,387.443946188341,227,0
2010-02-06,33,237.182291666667,0.01,450,206,0
2010-02-07,16,222.907834101382,0.01,398.15668202765,222,0
2010-02-08,129,290.79,0.01,432,208,0
2010-02-09,421,446.835748792271,0.01,417.391304347826,210,2.0952380952381e-05
2010-02-10,609,628.60119047619,0.01,514.285714285714,173,0
2010-02-11,77,266.769230769231,0.01,511.242603550296,174,0
2010-02-12,43,255.972677595628,0.01,472.131147540984,188,0
2010-02-13,88,258.73275862069,0.01,372.413793103448,235,0
2010-02-14,56,252.8125,0.01,415.384615384615,219,0
2010-02-15,102,278.801136363636,0.01,490.909090909091,185,0
2010-02-16,23,227.528205128205,0.01,443.076923076923,201,0
2010-02-17,30,234.020920502092,0.01,361.506276150628,250,0
2010-02-18,63,249.399038461538,0.01,415.384615384615,215,0
2010-02-19,6,220.229166666667,0.01,450,195,0
2010-02-20,15,223.384615384615,0.01,415.384615384615,210,0
2010-02-21,130,281.228699551569,0.01,387.443946188341,227,0
2010-02-22,273,334.076923076923,0.01,332.307692307692,265,0
2010-02-23,2,216.336,0.01,345.6,251,0
2010-02-24,112,289.035087719298,0.01,505.263157894737,177,0
2010-02-25,146,322.883116883117,0.01,561.038961038961,158,0
2010-02-26,24,231.168604651163,0.01,502.325581395349,176,0
2010-02-27,12,223.453488372093,0.01,502.325581395349,175,0
2010-02-28,108,294.403846153846,0.01,553.846153846154,159,0
2010-03-01,36,235.358974358974,0.01,443.076923076923,199,0
2010-03-02,45,241.38829787234,0.01,459.574468085106,193,0
2010-03-03,109,310.019736842105,0.01,568.421052631579,158,0
2010-03-04,390,455.075675675676,0.01,467.027027027027,188,0
2010-03-05,4,217.988304093567,0.01,505.263157894737,173,0
2010-03-06,97,278.627118644068,0.01,488.135593220339,183,0
2010-03-07,118,290.698324022346,0.01,482.68156424581,183,0
2010-03-08,188,383.696,0.01,691.2,130,0
2010-03-09,83,279.438356164384,0.01,591.780821917808,148,0
2010-03-10,49,249.58024691358,0.01,533.333333333333,169,0
2010-03-11,67,271.458646616541,0.01,649.624060150376,136,0
2010-03-12,9,222.867768595041,0.01,714.04958677686,123,0
2010-03-13,37,242.718954248366,0.01,564.705882352941,154,0
2010-03-14,9,227.032,0.01,691.2,127,0
2010-03-15,10,224.562962962963,0.01,640,140,0
2010-03-16,28,239.992063492063,0.01,685.714285714286,129,0
2010-03-17,28,238.169117647059,0.01,635.294117647059,139,0
2010-03-18,85,286.392857142857,0.01,617.142857142857,149,0
2010-03-19,136,313.274509803922,0.01,564.705882352941,162,0
2010-03-20,81,265.8125,0.01,450,204,0
2010-03-21,13,223.371584699454,0.01,472.131147540984,190,0
2010-03-22,45,243.391061452514,0.01,482.68156424581,186,0
2010-03-23,85,262.24154589372,0.01,417.391304347826,220,0
2010-03-24,37,243.327485380117,0.01,505.263157894737,182,0
2010-03-25,355,430.716577540107,0.01,462.032085561497,202,0
2010-03-26,83,264.304568527919,0.01,438.578680203046,213,0
2010-03-27,28,234.202247191011,0.01,485.393258426966,184,0
2010-03-28,22,229.897849462366,0.01,464.516129032258,192,0
2010-03-29,74,258.548717948718,0.01,443.076923076923,207,0
