Time	avg(Block size (kB)) – Ethereum
16.08.2022	81810.71086036671
17.08.2022	83526.24685859711
18.08.2022	83256.56967213115
19.08.2022	90586.7038516861
20.08.2022	83389.14953565245
21.08.2022	83510.36570799937
22.08.2022	84835.18116520351
23.08.2022	85671.97072249331
24.08.2022	81861.48801150895
25.08.2022	85523.26392914653
26.08.2022	86424.57271123938
27.08.2022	86452.25256574727
28.08.2022	90059.20916813592
29.08.2022	94421.02844950213
30.08.2022	98774.33005957173
31.08.2022	89863.95856
01.09.2022	79534.29554526585
02.09.2022	76642.3543619895
03.09.2022	73328.58080645162
04.09.2022	73810.76184399426
05.09.2022	75632.99740722735
06.09.2022	80446.05703786547
07.09.2022	81261.43518816339
08.09.2022	79662.52129688494
09.09.2022	81196.2657873042
10.09.2022	74219.87508272668
11.09.2022	77614.76937026047
12.09.2022	81240.1270051265
13.09.2022	79714.10653034301
14.09.2022	77840.53299492385
15.09.2022	75363.61177170035
16.09.2022	76254.84983079527
17.09.2022	71667.15624123422
18.09.2022	78827.24403927069
19.09.2022	81423.88984002246
20.09.2022	83552.05617820118
21.09.2022	83556.89169265665
22.09.2022	83197.39619739969
23.09.2022	81449.6472722199
24.09.2022	74353.90778459821
25.09.2022	73321.96414620536
26.09.2022	79875.57812281438
27.09.2022	78741.69402044531
28.09.2022	78202.7374005305
29.09.2022	76731.7922840369
30.09.2022	76766.0382467895
01.10.2022	79346.14642006446
02.10.2022	79320.46801393728
03.10.2022	76479.0227749057
04.10.2022	83575.36562456189
05.10.2022	86099.06743144935
06.10.2022	82121.00083834009
07.10.2022	80646.56129303106
08.10.2022	72412.86399776817
09.10.2022	53280.43283998883
10.10.2022	55628.593859036984
11.10.2022	61346.73073701843
12.10.2022	65259.4387213847
13.10.2022	76420.33952773508
14.10.2022	69566.15442613795
15.10.2022	64125.53634714664
16.10.2022	68463.2570909599
17.10.2022	74723.96645233435
18.10.2022	79028.47433751743
19.10.2022	76544.18017892088
20.10.2022	77070.47466852756
21.10.2022	76786.98087927426
22.10.2022	67134.22899804632
23.10.2022	71892.90325282703
24.10.2022	74790.85323033707
25.10.2022	78190.27195190157
26.10.2022	84521.90763220315
27.10.2022	85312.53630270874
28.10.2022	78574.22189597315
29.10.2022	78080.53398601398
30.10.2022	76524.71400669643
31.10.2022	76573.37009632835
01.11.2022	77522.28033062482
02.11.2022	75674.85299049749
03.11.2022	74663.97456324249
04.11.2022	77715.70005580357
05.11.2022	72700.8092776303
06.11.2022	77750.93987165179
07.11.2022	81092.42006138393
08.11.2022	88979.62679692951
09.11.2022	92791.39135301525
10.11.2022	85277.23474375087
11.11.2022	82450.30597119284
12.11.2022	75008.3037109375
13.11.2022	74334.99274958171
14.11.2022	81660.74159341426
15.11.2022	76642.08809956649
16.11.2022	72024.90657342658
17.11.2022	74656.26567956418
18.11.2022	69972.34027098757
19.11.2022	69390.94961618981
20.11.2022	74488.85857880776
21.11.2022	77323.8209101061
22.11.2022	77278.54573426573
23.11.2022	76098.67199103265
24.11.2022	70351.16201507117
25.11.2022	68249.77641140301
26.11.2022	71239.88001117474
27.11.2022	68460.24556502305
28.11.2022	73283.92
29.11.2022	76430.84493847875
30.11.2022	78334.91511676689
01.12.2022	76573.294946957
02.12.2022	74826.3061252965
03.12.2022	70443.34664246824
04.12.2022	69496.24140341068
05.12.2022	74650.04787234042
06.12.2022	75968.2038767257
07.12.2022	77857.57540636043
08.12.2022	71554.51529116045
09.12.2022	81863.10374720358
10.12.2022	71448.87732030705
11.12.2022	70985.36983240224
12.12.2022	78245.39435438793
13.12.2022	82501.03034540624
14.12.2022	81211.37191121039
15.12.2022	82820.15525433203
16.12.2022	81816.2834799609
17.12.2022	79973.58858020382
18.12.2022	77551.45490086568
19.12.2022	75189.48060284677
20.12.2022	83221.33714604548
21.12.2022	84773.04020661734
22.12.2022	78931.04860724234
23.12.2022	82429.94206934968
24.12.2022	72980.50376779235
25.12.2022	71771.76677360859
26.12.2022	79960.45240089335
27.12.2022	81361.8797150042
28.12.2022	83912.13087108014
29.12.2022	82277.99734673928
30.12.2022	81358.06168015629
31.12.2022	76168.10940552609
01.01.2023	63331.791132180704
02.01.2023	77435.06511433351
03.01.2023	79802.41520223152
04.01.2023	84703.66829336308
05.01.2023	87266.42194269742
06.01.2023	87350.587150838
07.01.2023	81948.81630374092
08.01.2023	82704.26238660153
09.01.2023	92878.79377703363
10.01.2023	91099.88375662852
11.01.2023	92319.73868082727
12.01.2023	93096.22889882616
13.01.2023	94888.48924881317
14.01.2023	97348.70952447357
15.01.2023	90292.4499020431
16.01.2023	91633.04790502794
17.01.2023	89623.46109871723
18.01.2023	80192.50704815073
19.01.2023	77456.64162011174
20.01.2023	76295.96791294643
21.01.2023	77694.96733212341
22.01.2023	69726.5593575419
